Optimal path found:
Node id: 1477573164  | Distance: 4346.018503  | Name: Magòria-La Campana entrance
Node id: 463272130  | Distance: 4358.176210  | Name: Magòria-La Campana entrance
Node id: 463272134  | Distance: 5329.538413  | Name: Ildefons Cerdà entrance
Node id: 951428771  | Distance: 5397.976746  | Name: L8;S33;S4;S8
Node id: 463272136  | Distance: 6048.320141  | Name: Europa-Fira entrance
Node id: 463272139  | Distance: 6747.951561  | Name: Gornal entrance
Node id: 1500119405  | Distance: 6841.237198  | Name: -
Node id: 1118408118  | Distance: 6847.563849  | Name: AVE Madrid-Barcelona
Node id: 1118396319  | Distance: 6855.188994  | Name: AVE Madrid-Barcelona
Node id: 1500119409  | Distance: 6863.803770  | Name: -
Node id: 1066620308  | Distance: 6867.211286  | Name: -
Node id: 1066620307  | Distance: 7329.807809  | Name: -
Node id: 1066620306  | Distance: 7387.954332  | Name: -
Node id: 1118396240  | Distance: 7569.367937  | Name: -
Node id: 1066620305  | Distance: 7982.514733  | Name: -
Node id: 1066620303  | Distance: 8050.882809  | Name: -
Node id: 1066620302  | Distance: 8354.718768  | Name: -
Node id: 1066620300  | Distance: 8416.047004  | Name: -
Node id: 1066620299  | Distance: 8482.344751  | Name: -
Node id: 1066620298  | Distance: 8553.629337  | Name: -
Node id: 1066620297  | Distance: 8617.975072  | Name: -
Node id: 1066620294  | Distance: 8678.988083  | Name: -
Node id: 1066620290  | Distance: 8749.179943  | Name: -
Node id: 1066620289  | Distance: 8832.695019  | Name: -
Node id: 1066620285  | Distance: 8910.946188  | Name: -
Node id: 1066620278  | Distance: 9126.636345  | Name: -
Node id: 1066620277  | Distance: 9405.142145  | Name: -
Node id: 1066620271  | Distance: 9495.968215  | Name: -
Node id: 1066620653  | Distance: 9746.358322  | Name: Barcelona-Valencia
Node id: 1066620743  | Distance: 10023.445817  | Name: Barcelona-Valencia
Node id: 1066620742  | Distance: 10449.573371  | Name: Barcelona-Valencia
Node id: 1066620735  | Distance: 10719.802285  | Name: Barcelona-Valencia
Node id: 1066620733  | Distance: 10987.248069  | Name: Barcelona-Valencia
Node id: 1066620731  | Distance: 11106.769337  | Name: Barcelona-Valencia
Node id: 1066620730  | Distance: 11221.025180  | Name: Barcelona-Valencia
Node id: 1066620728  | Distance: 11494.756468  | Name: Barcelona-Valencia
Node id: 1118396194  | Distance: 11647.026674  | Name: Barcelona-Valencia
Node id: 1066620726  | Distance: 11809.779862  | Name: Barcelona-Valencia
Node id: 1066620723  | Distance: 12376.114176  | Name: Barcelona-Valencia
Node id: 1066620721  | Distance: 12762.032422  | Name: Barcelona-Valencia
Node id: 1066620716  | Distance: 13116.463878  | Name: Barcelona-Valencia
Node id: 1066620715  | Distance: 13583.880176  | Name: Barcelona-Valencia
Node id: 1066620713  | Distance: 13700.905615  | Name: Barcelona-Valencia
Node id: 1066620708  | Distance: 13777.641201  | Name: Barcelona-Valencia
Node id: 1066620704  | Distance: 13798.040248  | Name: Barcelona-Valencia
Node id: 1066620702  | Distance: 14126.285144  | Name: Barcelona-Valencia
Node id: 1066620700  | Distance: 14555.896716  | Name: Barcelona-Valencia
Node id: 1066620698  | Distance: 15214.374476  | Name: Barcelona-Valencia
Node id: 1066620696  | Distance: 15632.836009  | Name: Barcelona-Valencia
Node id: 1066620695  | Distance: 15997.600671  | Name: Barcelona-Valencia
Node id: 1066620694  | Distance: 16497.046968  | Name: Barcelona-Valencia
Node id: 1066620692  | Distance: 16669.664365  | Name: Barcelona-Valencia
Node id: 1066620691  | Distance: 16995.855475  | Name: Barcelona-Valencia
Node id: 1324546086  | Distance: 17517.814644  | Name: Barcelona-Valencia
Node id: 1324546035  | Distance: 17565.765826  | Name: -
Node id: 1324546060  | Distance: 17659.220185  | Name: -
Node id: 1324546045  | Distance: 17723.457793  | Name: -
Node id: 1324546074  | Distance: 17809.043146  | Name: -
Node id: 1324546076  | Distance: 17908.106399  | Name: -
Node id: 1324546048  | Distance: 17967.465253  | Name: -
Node id: 1324546044  | Distance: 18046.460794  | Name: -
Node id: 1324546073  | Distance: 18120.013022  | Name: -
Node id: 1324546047  | Distance: 18165.717252  | Name: -
Node id: 1324546051  | Distance: 18223.669767  | Name: -
Node id: 1324546041  | Distance: 18296.270826  | Name: -
Node id: 1066620686  | Distance: 18355.217729  | Name: -
Node id: 1066620685  | Distance: 18619.660137  | Name: -
Node id: 1066620683  | Distance: 19070.444701  | Name: -
Node id: 1066620681  | Distance: 19231.770789  | Name: -
Node id: 1066620680  | Distance: 19272.342715  | Name: -
Node id: 1066620904  | Distance: 19467.335795  | Name: -
Node id: 1066620901  | Distance: 19880.398770  | Name: -
Node id: 1066620894  | Distance: 20093.100550  | Name: -
Node id: 1066620878  | Distance: 20120.983571  | Name: -
Node id: 1066620875  | Distance: 20314.209715  | Name: -
Node id: 1066620872  | Distance: 21069.831728  | Name: -
Node id: 1066620868  | Distance: 21367.855511  | Name: -
Node id: 213850148  | Distance: 21474.636782  | Name: -
Node id: 213850146  | Distance: 21650.465641  | Name: -
Node id: 213850144  | Distance: 21892.612372  | Name: -
Node id: 46920795  | Distance: 22112.515909  | Name: R2 Sud
Node id: 970923304  | Distance: 22458.583525  | Name: R2 Sud
Node id: 970923345  | Distance: 22484.551836  | Name: R2 Sud
Node id: 206963838  | Distance: 22679.069954  | Name: R2 Sud
Node id: 209145840  | Distance: 22894.950454  | Name: R2 Sud
Node id: 46920784  | Distance: 23081.913053  | Name: R2 Sud
Node id: 209145274  | Distance: 23155.762224  | Name: R2 Sud
Node id: 206963837  | Distance: 23269.407585  | Name: R2 Sud
Node id: 206963836  | Distance: 23442.326775  | Name: R2 Sud
Node id: 46920757  | Distance: 23571.996454  | Name: R2 Sud
Node id: 209178380  | Distance: 23623.838769  | Name: R2 Sud
Node id: 206963835  | Distance: 23677.310247  | Name: R2 Sud
Node id: 206963834  | Distance: 23759.439242  | Name: R2 Sud
Node id: 206963833  | Distance: 23898.951873  | Name: R2 Sud
Node id: 46920749  | Distance: 24042.993371  | Name: R2 Sud
Node id: 243493995  | Distance: 24184.580683  | Name: R2 Sud
Node id: 206963832  | Distance: 24657.275891  | Name: R2 Sud
Node id: 46920701  | Distance: 25206.828734  | Name: R2 Sud
Node id: 46920696  | Distance: 25928.133233  | Name: R2 Sud
Node id: 206963831  | Distance: 26040.385726  | Name: R2 Sud
Node id: 206963830  | Distance: 26164.263681  | Name: R2 Sud
Node id: 206963829  | Distance: 26442.908951  | Name: R2 Sud
Node id: 279742781  | Distance: 26479.596773  | Name: R2 Sud
Node id: 1125509482  | Distance: 26562.926281  | Name: R2 Sud
Node id: 1125509538  | Distance: 26634.274675  | Name: R2 Sud
Node id: 1125509645  | Distance: 26689.095561  | Name: R2 Sud
Node id: 46920686  | Distance: 26779.077952  | Name: R2 Sud
Node id: 1125509516  | Distance: 26813.750530  | Name: R2 Sud
Node id: 1125509556  | Distance: 27077.409295  | Name: R2 Sud
Node id: 1125509693  | Distance: 27284.308785  | Name: R2 Sud
Node id: 1125509513  | Distance: 27353.277435  | Name: R2 Sud
Node id: 46920679  | Distance: 27561.893450  | Name: R2 Sud
Node id: 1125509469  | Distance: 28238.430197  | Name: R2 Sud
Node id: 1125509504  | Distance: 28297.170940  | Name: R2 Sud
Node id: 1125509534  | Distance: 28404.409728  | Name: R2 Sud
Node id: 46920675  | Distance: 28513.825964  | Name: R2 Sud
Node id: 528908100  | Distance: 28579.041102  | Name: R2 Sud
Node id: 528908099  | Distance: 28675.373137  | Name: R2 Sud
Node id: 528908114  | Distance: 28776.919344  | Name: R2 Sud
Node id: 528908115  | Distance: 28825.569163  | Name: R2 Sud
Node id: 528908120  | Distance: 28874.640664  | Name: R2 Sud
Node id: 1125509520  | Distance: 28945.074023  | Name: R2 Sud
Node id: 528908098  | Distance: 29017.047277  | Name: R2 Sud
Node id: 1125509551  | Distance: 29238.703971  | Name: R2 Sud
Node id: 493876704  | Distance: 29459.911682  | Name: R2 Sud
Node id: 46920665  | Distance: 30465.494379  | Name: R2 Sud
Node id: 46920658  | Distance: 31346.486011  | Name: R2 Sud
Node id: 46920652  | Distance: 32214.371875  | Name: R2 Sud
Node id: 46920645  | Distance: 32775.636162  | Name: R2 Sud
Node id: 46920641  | Distance: 33898.386078  | Name: R2 Sud
Node id: 46920617  | Distance: 34624.183625  | Name: R2 Sud
Node id: 46920629  | Distance: 35227.683166  | Name: R2 Sud
Node id: 46920613  | Distance: 35770.504539  | Name: R2 Sud
Node id: 1422370776  | Distance: 36080.811533  | Name: R2 Sud
Node id: 1170456908  | Distance: 36393.315266  | Name: R2 Sud
Node id: 46920603  | Distance: 36509.433014  | Name: R2 Sud
Node id: 1422370788  | Distance: 36716.978675  | Name: R2 Sud
Node id: 420200118  | Distance: 37156.351847  | Name: R2 Sud
Node id: 46920597  | Distance: 37306.067693  | Name: R2 Sud
Node id: 420210359  | Distance: 37454.553328  | Name: R2 Sud
Node id: 374309863  | Distance: 37553.495779  | Name: R2 Sud
Node id: 374304785  | Distance: 37570.129592  | Name: R2 Sud
Node id: 374292155  | Distance: 37676.237744  | Name: R2 Sud
Node id: 46920581  | Distance: 37795.477765  | Name: R2 Sud
Node id: 374311239  | Distance: 37905.529696  | Name: R2 Sud
Node id: 374310349  | Distance: 38071.017271  | Name: R2 Sud
Node id: 374332822  | Distance: 38122.816357  | Name: R2 Sud
Node id: 46920591  | Distance: 38797.261135  | Name: R2 Sud
Node id: 663771881  | Distance: 38856.154165  | Name: R2 Sud
Node id: 663771880  | Distance: 38892.934133  | Name: R2 Sud
Node id: 46920574  | Distance: 39543.188710  | Name: R2 Sud
Node id: 420376551  | Distance: 39786.930120  | Name: R2 Sud
Node id: 420376552  | Distance: 39962.612138  | Name: R2 Sud
Node id: 46920562  | Distance: 40440.134117  | Name: R2 Sud
Node id: 420433401  | Distance: 40789.418817  | Name: R2 Sud
Node id: 46920551  | Distance: 40997.045153  | Name: R2 Sud
Node id: 420433399  | Distance: 41324.046765  | Name: R2 Sud
Node id: 504894368  | Distance: 41793.757294  | Name: R2 Sud
Node id: 504894355  | Distance: 41984.205196  | Name: R2 Sud
Node id: 46920545  | Distance: 42072.329581  | Name: R2 Sud
Node id: 1300507865  | Distance: 42147.649565  | Name: R2 Sud
Node id: 1300507870  | Distance: 42222.671929  | Name: R2 Sud
Node id: 504894339  | Distance: 42375.070274  | Name: R2 Sud
Node id: 504894340  | Distance: 42507.989410  | Name: R2 Sud
Node id: 46920537  | Distance: 42626.908231  | Name: R2 Sud
Node id: 504894329  | Distance: 42818.185252  | Name: R2 Sud
Node id: 336906614  | Distance: 43345.484883  | Name: R2 Sud
Node id: 1134704593  | Distance: 43488.756874  | Name: R2 Sud
Node id: 46920525  | Distance: 43595.518044  | Name: R2 Sud
Node id: 1134704682  | Distance: 43727.443192  | Name: R2 Sud
Node id: 634581243  | Distance: 43987.497372  | Name: R2 Sud
Node id: 46920511  | Distance: 44320.688525  | Name: R2 Sud
Node id: 633689808  | Distance: 44397.891683  | Name: R2 Sud
Node id: 632209935  | Distance: 44550.291569  | Name: R2 Sud
Node id: 939097568  | Distance: 45246.784508  | Name: R2 Sud
Node id: 46920492  | Distance: 45294.671252  | Name: R2 Sud
Node id: 634581141  | Distance: 45369.110120  | Name: R2 Sud
Node id: 634581137  | Distance: 45545.372500  | Name: R2 Sud
Node id: 634581113  | Distance: 45982.203485  | Name: R2 Sud
Node id: 46920484  | Distance: 46211.585577  | Name: R2 Sud
Node id: 634581072  | Distance: 46618.365470  | Name: R2 Sud
Node id: 46920461  | Distance: 46814.358531  | Name: R2 Sud
Node id: 634581068  | Distance: 46879.633268  | Name: R2 Sud
Node id: 1299717969  | Distance: 46939.156783  | Name: R2 Sud
Node id: 634581067  | Distance: 46999.402540  | Name: R2 Sud
Node id: 634581070  | Distance: 47097.837368  | Name: R2 Sud
Node id: 46920444  | Distance: 47569.619552  | Name: R2 Sud
Node id: 46920427  | Distance: 47760.980947  | Name: R2 Sud
Node id: 634581063  | Distance: 47919.811735  | Name: R2 Sud
Node id: 634581064  | Distance: 48089.734038  | Name: R2 Sud
Node id: 634581065  | Distance: 48241.102919  | Name: R2 Sud
Node id: 796751037  | Distance: 49119.069494  | Name: R2 Sud
Node id: 796751049  | Distance: 49192.113602  | Name: R2 Sud
Node id: 46920419  | Distance: 49672.950317  | Name: R2 Sud
Node id: 957147045  | Distance: 49933.693747  | Name: R2 Sud
Node id: 957147044  | Distance: 50052.613024  | Name: R2 Sud
Node id: 46920413  | Distance: 50912.401572  | Name: R2 Sud
Node id: 367656942  | Distance: 51702.314664  | Name: R2 Sud
Node id: 46920404  | Distance: 52229.587220  | Name: R2 Sud
Node id: 1489169407  | Distance: 52884.783405  | Name: R2 Sud
Node id: 1489169400  | Distance: 53242.015985  | Name: R2 Sud
Node id: 46920389  | Distance: 53468.394873  | Name: R2 Sud
Node id: 46920379  | Distance: 54757.362699  | Name: R2 Sud
Node id: 1066621412  | Distance: 55811.321827  | Name: R2 Sud
Node id: 46920376  | Distance: 56090.692140  | Name: R2 Sud
Node id: 46920344  | Distance: 57295.896603  | Name: R2 Sud
Node id: 540031213  | Distance: 58308.979967  | Name: R2 Sud
Node id: 540031211  | Distance: 58356.649530  | Name: R2 Sud
Node id: 46920333  | Distance: 58697.696784  | Name: R2 Sud
Node id: 540031157  | Distance: 59002.875661  | Name: R2 Sud
Node id: 540031155  | Distance: 59033.022523  | Name: R2 Sud
Node id: 46920324  | Distance: 59334.327979  | Name: R2 Sud
Node id: 46920312  | Distance: 60028.047464  | Name: R2 Sud
Node id: 46920307  | Distance: 60910.162360  | Name: R2 Sud
Node id: 46920293  | Distance: 61914.854612  | Name: R2 Sud
Node id: 619499719  | Distance: 62093.972394  | Name: R2 Sud
Node id: 892728793  | Distance: 62434.211519  | Name: R2,R4
Node id: 46920282  | Distance: 62743.858576  | Name: R2,R4
Node id: 619499715  | Distance: 62900.255310  | Name: -
Node id: 619499713  | Distance: 63037.078010  | Name: -
Node id: 619499710  | Distance: 63371.726538  | Name: -
Node id: 46920276  | Distance: 63761.411568  | Name: -
Node id: 46919904  | Distance: 64709.690446  | Name: -
Node id: 46919896  | Distance: 65783.412576  | Name: -
Node id: 46919508  | Distance: 66663.019408  | Name: -
Node id: 46919499  | Distance: 67752.715547  | Name: -
Node id: 795963086  | Distance: 69073.049933  | Name: -
Node id: 795962816  | Distance: 69083.419073  | Name: -
Node id: 46911473  | Distance: 69230.373272  | Name: -
Node id: 1066621668  | Distance: 69451.831545  | Name: -
Node id: 1066621666  | Distance: 69602.131847  | Name: -
Node id: 46911470  | Distance: 69785.177739  | Name: -
Node id: 46911466  | Distance: 70563.764011  | Name: -
Node id: 46911457  | Distance: 71501.934629  | Name: -
Node id: 46911448  | Distance: 72645.222621  | Name: -
Node id: 46911442  | Distance: 73286.460066  | Name: -
Node id: 271498120  | Distance: 73654.298902  | Name: Torredembarra
Node id: 46911440  | Distance: 73963.900964  | Name: -
Node id: 46911436  | Distance: 75223.870729  | Name: -
Node id: 1308922868  | Distance: 75643.207817  | Name: -
Node id: 46911433  | Distance: 75921.811238  | Name: -
Node id: 1208534753  | Distance: 76337.961623  | Name: -
Node id: 1208534775  | Distance: 76374.422305  | Name: -
Node id: 46911424  | Distance: 76501.013265  | Name: Altafulla
Node id: 1208534862  | Distance: 76603.139867  | Name: -
Node id: 1208534837  | Distance: 76659.574009  | Name: -
Node id: 1208534866  | Distance: 76764.893864  | Name: -
Node id: 46911418  | Distance: 76983.108993  | Name: -
Node id: 46911408  | Distance: 77566.629730  | Name: -
Node id: 46911399  | Distance: 78243.140740  | Name: -
Node id: 1088337416  | Distance: 78298.359050  | Name: -
Node id: 1088337462  | Distance: 78343.709131  | Name: -
Node id: 1088337559  | Distance: 78439.466851  | Name: -
Node id: 1088337543  | Distance: 78518.855274  | Name: -
Node id: 1088337614  | Distance: 78599.558743  | Name: -
Node id: 1088337394  | Distance: 78681.127228  | Name: -
Node id: 46911392  | Distance: 78760.902524  | Name: -
Node id: 46911385  | Distance: 78992.669310  | Name: -
Node id: 46911378  | Distance: 79687.212415  | Name: -
Node id: 46911324  | Distance: 80080.265608  | Name: -
Node id: 46911319  | Distance: 80524.879798  | Name: -
Node id: 1088337795  | Distance: 80705.134418  | Name: -
Node id: 1088337670  | Distance: 80852.452257  | Name: -
Node id: 46911310  | Distance: 80970.599962  | Name: -
Node id: 46911201  | Distance: 81511.856367  | Name: -
Node id: 46911193  | Distance: 82052.311062  | Name: -
Node id: 46911185  | Distance: 82385.879873  | Name: -
Node id: 46911175  | Distance: 82886.151667  | Name: -
Node id: 408186712  | Distance: 83249.377552  | Name: -
Node id: 46911169  | Distance: 83613.229897  | Name: -
Node id: 46911161  | Distance: 83994.024712  | Name: -
Node id: 46911154  | Distance: 84348.522868  | Name: -
Node id: 46911148  | Distance: 84648.873645  | Name: -
Node id: 822145092  | Distance: 84983.959531  | Name: -
Node id: 46911143  | Distance: 84996.066914  | Name: -
Node id: 46911136  | Distance: 85369.483924  | Name: -
Node id: 46911128  | Distance: 85657.962125  | Name: -
Node id: 46911123  | Distance: 85888.297332  | Name: -
Node id: 46911118  | Distance: 86157.492141  | Name: -
Node id: 46911111  | Distance: 86447.030907  | Name: -
Node id: 46911105  | Distance: 86711.666349  | Name: -
Node id: 1254685684  | Distance: 86909.345406  | Name: -
Node id: 46911089  | Distance: 86984.413411  | Name: -
Node id: 1030655370  | Distance: 87043.408305  | Name: -
Node id: 912172872  | Distance: 87119.662295  | Name: -
Node id: 1030655256  | Distance: 87153.910417  | Name: -
Node id: 1030655380  | Distance: 87187.112423  | Name: -
Node id: 46911086  | Distance: 87228.938415  | Name: -
Node id: 46911097  | Distance: 87254.023185  | Name: Tarragona
Node id: 912172977  | Distance: 87389.758116  | Name: -
Node id: 912172948  | Distance: 87405.765265  | Name: -
Node id: 1030655350  | Distance: 87429.883118  | Name: -
Node id: 1030655266  | Distance: 87443.073775  | Name: -
Node id: 954842742  | Distance: 87453.451941  | Name: -
Node id: 954843584  | Distance: 87472.116367  | Name: -
Node id: 1030655328  | Distance: 87487.577709  | Name: -
Node id: 1030655241  | Distance: 87498.971923  | Name: -
Node id: 954842869  | Distance: 87509.882470  | Name: -
Node id: 1030655276  | Distance: 87524.610262  | Name: -
Node id: 262160337  | Distance: 87538.636111  | Name: -
Node id: 1030655376  | Distance: 87558.756214  | Name: -
Node id: 954842818  | Distance: 87578.557860  | Name: -
